Park Type,Wind farm,Turbine Platform,Turbine,Component Failed,Outage cause,Material number,Failed Component Serial number,New Component Serial number,Failure Mode,Component Commisioning Date,Turbine Stopp Date,Jackup Call-off Date,Component Exchange Date,Turbine start date,Estimated Lost Production,Estimated Lost Revenue,Work Order,Main Component Cost,Jackup Cost,Other Project Cost,Jackup vessel,Alarm code 1,Alarm code 2,Alarm code 3,Alarm code 4,Alarm code 5,Alarm code 6,Alarm code 7,Alarm code 8,Alarm code 9,Alarm code 10,Alarm code 11,Alarm code 12,Alarm code 13,Alarm code 14,Alarm code 15,Alarm code 16,Alarm code 17,Alarm code 18,Alarm code 19,Alarm code 20
Offshore,Egmond aan Zee,V90-3MW,NEZ030,Gearbox,,,RW EF901D-003L/LM0013,RW EF901E-403L/LM0014,Serial Defect,,2009-09-17,,2009-09-26,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ027,Gearbox,,,EF901D-013L/LM0160,RW EF901E-403L/LM0071,Serial Defect,,2009-09-18,,2009-09-27,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ012,Gearbox,,,EF 901D-003L/LM0017,RW EF901E-403L/LM0088,Serial Defect,,2009-09-24,,2009-10-13,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ010,Gearbox,,,RW EF901D-003L/LM0010,RW EF901E-403L/LM0089,Serial Defect,,2009-09-24,,2009-10-15,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ036,Gearbox,,,EF901D-003L/LM0036,EF901E-403L/LM0095,Serial Defect,,2009-09-26,,2009-10-19,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ022,Gearbox,,,EF901D-003L/LM0348,EF901E-403L/LM0102,Serial Defect,,2009-10-15,,2009-10-23,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ018,Generator,,,600564SF33,VND624006,Serial Defect,,,,2009-10-28,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ023,Gearbox,,,EF901D-003L/LM0018,RW EF901E-403L/LM0103,Serial Defect,,2009-10-27,,2009-10-29,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ002,Gearbox,,,EF901D-003L/LM0009,RW EF901E-403L/LM0105,Serial Defect,,2009-10-22,,2009-10-31,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Lillgrund,"SWT 2,3MW",SLGD08,Main bearing,,,,,,,,,2009-11-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
